GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
n-orm core,com.googlecode.n_orm.cache.read,CacheException,16,0,0,0,8,0,4,0,4,0
n-orm core,com.googlecode.n_orm.cache.read,CachedStore,151,241,21,27,34,54,22,18,6,10
n-orm core,com.googlecode.n_orm.cache.write,WriteRetentionStore.new WriteRetentionStore.Operation() {...},0,30,0,0,0,4,0,2,0,2
n-orm core,com.googlecode.n_orm.cache.write,WriteRetentionStore.new WriteRetentionStore.Operation() {...},0,15,0,0,0,4,0,2,0,2
n-orm core,com.googlecode.n_orm.cache.write,WriteRetentionStore,76,476,16,46,16,121,18,42,2,27
n-orm core,com.googlecode.n_orm.cache.write,WriteRetentionStore.EvictionThread.new ThreadFactory() {...},17,33,2,2,1,7,2,2,0,2
n-orm core,com.googlecode.n_orm.cache.write,WriteRetentionStore.RowInTable,20,117,10,12,9,27,10,7,0,6
n-orm core,com.googlecode.n_orm.cache.write,WriteRetentionStore.RequestIsOutException,0,3,0,0,0,1,0,1,0,1
n-orm core,com.googlecode.n_orm.cache.write,WriteRetentionStore.StoreRequest.new Runnable() {...},52,67,3,5,7,10,3,3,0,2
n-orm core,com.googlecode.n_orm.cache.write,WriteRetentionStore.StoreRequest.new Runnable() {...},35,144,3,9,3,17,3,5,0,2
n-orm core,com.googlecode.n_orm.cache.write,WriteRetentionStore.Operation,0,3,0,0,0,1,0,1,0,1
n-orm core,com.googlecode.n_orm.cache.write,WriteRetentionStore.StoreRequest,229,1128,88,160,25,248,72,68,0,16
n-orm core,com.googlecode.n_orm.cache.write,WriteRetentionStore.EvictionThread,59,144,10,14,10,34,9,7,0,4
n-orm core,com.googlecode.n_orm,PropertyManagement.AjcClosure1,22,0,0,0,1,0,2,0,2,0
n-orm core,com.googlecode.n_orm,KeyManagement,248,627,18,74,20,126,17,53,1,23
n-orm core,com.googlecode.n_orm,UnknownColumnFamily,26,0,0,0,6,0,3,0,3,0
n-orm core,com.googlecode.n_orm,FederatedTableManagement.FederatedTableManagement.2.FederatedTableManagement.new AggregatingIterator() {...},50,182,17,19,9,35,17,3,0,2
n-orm core,com.googlecode.n_orm,FederatedTableManagement.FederatedTableManagement.2.FederatedTableManagement.new AggregatingIterator() {...},7,36,0,0,1,8,0,2,0,2
n-orm core,com.googlecode.n_orm,StoreSelector.AjcClosure1,22,0,0,0,1,0,2,0,2,0
n-orm core,com.googlecode.n_orm,StoreSelector.AjcClosure3,22,0,0,0,1,0,2,0,2,0
n-orm core,com.googlecode.n_orm,StoreSelector.AjcClosure5,22,0,0,0,1,0,2,0,2,0
n-orm core,com.googlecode.n_orm,WaitingCallBack,13,21,1,1,6,9,3,3,2,3
n-orm core,com.googlecode.n_orm,FederatedTableManagement,484,637,72,88,94,121,65,58,13,29
n-orm core,com.googlecode.n_orm,FederatedTableManagement.CloseableKeyIteratorWithTable,6,58,1,1,2,14,2,7,1,7
